team_a,team_b,team_a_winrate,team_b_winrate,team_a_avg_scored,team_a_avg_conceded,team_b_avg_scored,team_b_avg_conceded,team_a_h2h_winrate,team_b_h2h_winrate,result
Russia,Croatia,0.4,0.3,1.2,2.0,1.4,1.4,0.0,0.25,draw
Niger,Burkina Faso,0.3,0.5,0.5,1.5,1.2,0.6,0.1111111111111111,0.4444444444444444,away win
Algeria,Djibouti,0.7,0.3,2.8,1.0,0.7,1.8,0.0,0.0,home win
Kenya,Uganda,0.4,0.3,1.2,1.0,0.8,0.8,0.28703703703703703,0.3888888888888889,draw
Namibia,Congo,0.4,0.3,1.2,1.0,0.7,0.9,0.25,0.75,draw
Morocco,Sudan,0.7,0.5,1.6,0.3,1.3,0.8,0.4,0.0,home win
DR Congo,Tanzania,0.2,0.3,0.6,1.1,0.8,0.9,0.5,0.25,draw
Madagascar,Benin,0.2,0.3,1.1,1.5,0.9,0.9,0.25,0.5,away win
South Korea,Iraq,0.7,0.6,2.0,1.1,1.6,0.6,0.3684210526315789,0.05263157894736842,draw
Iran,Syria,0.8,0.6,3.9,0.5,1.7,1.1,0.5384615384615384,0.038461538461538464,home win
United Arab Emirates,Lebanon,0.7,0.3,3.1,1.1,1.2,1.2,0.6666666666666666,0.1111111111111111,draw
Japan,Oman,0.8,0.6,3.9,0.4,1.5,0.9,0.75,0.0,away win
Australia,China,0.8,0.6,2.8,0.4,2.8,0.6,0.5,0.4,home win
Saudi Arabia,Vietnam,0.8,0.5,2.3,0.4,1.4,0.7,1.0,0.0,home win
Georgia,Kosovo,0.1,0.5,0.8,1.4,1.6,1.4,0.0,0.0,away win
Sweden,Spain,0.7,0.5,1.7,0.9,2.2,0.8,0.1875,0.4375,home win
Italy,Bulgaria,0.8,0.1,2.6,0.4,0.6,1.3,0.55,0.1,draw
Lithuania,Northern Ireland,0.2,0.1,0.5,1.9,0.7,1.2,0.0,0.5,away win
Czech Republic,Belarus,0.4,0.3,1.6,1.3,1.7,2.4,1.0,0.0,home win
Estonia,Belgium,0.3,0.7,1.0,1.9,2.3,0.6,0.16666666666666666,0.8333333333333334,away win
Andorra,San Marino,0.0,0.0,0.3,2.9,0.1,3.0,0.0,0.0,home win
Hungary,England,0.4,0.8,1.7,1.1,1.5,0.3,0.22727272727272727,0.6818181818181818,away win
Poland,Albania,0.1,0.5,1.5,1.8,1.2,0.9,0.6363636363636364,0.09090909090909091,home win
Iceland,Romania,0.2,0.3,1.1,2.0,1.5,1.8,0.3333333333333333,0.6666666666666666,away win
Liechtenstein,Germany,0.1,0.4,0.5,2.8,1.9,1.7,0.0,1.0,away win
North Macedonia,Armenia,0.4,0.6,1.8,1.5,1.6,1.0,0.4,0.4,draw
Bolivia,Colombia,0.1,0.3,1.2,2.1,1.3,1.5,0.20689655172413793,0.4827586206896552,draw
Ecuador,Paraguay,0.3,0.3,1.7,1.7,1.2,1.1,0.2894736842105263,0.5526315789473685,home win
Peru,Uruguay,0.3,0.3,1.2,2.0,0.9,0.8,0.22388059701492538,0.5522388059701493,draw
Venezuela,Argentina,0.1,0.6,0.5,1.5,1.7,0.6,0.08,0.84,away win
Chile,Brazil,0.3,0.8,1.0,1.0,1.8,0.3,0.1111111111111111,0.7083333333333334,away win
